"customer_id","name","city","product_id"
164,"Courtney Hancock","London",5
165,"Brandon Preston","Reims",6
166,"Lara Stoate","Rosenheim",7
167,"Max Ludwig","Uppsala",8
168,"Summer Hayward","Nice",9
169,"Millie Newman","Boulogne-sur-Mer",10
170,"Larry Klaus","La Crau",11
171,"Patricia Lukes","Almelo",12
172,"Shelby Dunston","Siena",13
173,"Erin Gill","Barcelona",14
174,"Piper Wilder-Neligan","Frankfurt",15
175,"Patricia Lukes","Almelo",16
176,"Lilian Macredie","Basel",17
177,"Jasmine Slater","Coslada",18
178,"Charlotte Taylor","Marseille",19
179,"Victoria Bell","Hanover",20
180,"Kayleigh Farmer","Elda",1
181,"Tyson Ebden","Hardenberg",2
182,"Sophie Franklin","Seville",3
183,"Maya O'Sullivan","Muret",4
184,"Ronald Everson","Beaune",5
185,"Julian Mack","Paris",6
186,"Tegan Savage","Castrop-Rauxel",7
187,"Eva Hargraves","Milan",8
189,"Jonathan Summons","Zurich",9
190,"Darcy Farnell","Grosseto",10
191,"Katherine Grant","Paris",11
192,"Jared Wurster","Dublin",12
193,"Kayla Ronald","Rome",13
194,"Angus Reading","Namur",14
195,"Jodie Mellor","Zaanstad",15
196,"Maya Summers","Bochum",16
197,"Oscar Clayton","Colmar",17
198,"Angus De Groot","Farnborough",18
199,"Caleb Kenyon","Berlin",19
200,"Carl Proctor","Rome",20
